ownop,country
Afghanistan,Afghanistan
Aland Islands,Åland Islands
Albania,Albania
Algeria,Algeria
American Samoa,American Samoa
Andorra,Andorra
Angola,Angola
Anguilla,Anguilla
Antarctica,Antarctica
Antigua and Barbuda,Antigua & Barbuda
Argentina,Argentina
Armenia,Armenia
Aruba,Aruba
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahamas,Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bermuda,Bermuda
Bhutan,Bhutan
Bolivia,Bolivia
Bosnia and Herzegovina,Bosnia & Herzegovina
Botswana,Botswana
Bouvet Island,Bouvet Island
Brazil,Brazil
British Virgin Islands,British Virgin Islands
British Indian Ocean Territory,British Indian Ocean Territory
Brunei Darussalam,Brunei
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Cape Verde,Cape Verde
Cayman Islands,Cayman Islands
Central African Republic,Central African Republic
Chad,Chad
Chile,Chile
China,China
"Hong Kong, SAR China",Hong Kong SAR China
"Macao, SAR China",Macao SAR China
Christmas Island,Christmas Island
Cocos (Keeling) Islands,Cocos (Keeling) Islands
Colombia,Colombia
Comoros,Comoros
Congo (Brazzaville),Congo - Brazzaville
"Congo, (Kinshasa)",Congo - Kinshasa
Cook Islands,Cook Islands
Costa Rica,Costa Rica
Côte d'Ivoire,Côte d’Ivoire
Croatia,Croatia
Cuba,Cuba
Cyprus,Cyprus
Czech Republic,Czechia
Denmark,Denmark
Djibouti,Djibouti
Dominica,Dominica
Dominican Republic,Dominican Republic
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Ethiopia,Ethiopia
Falkland Islands (Malvinas),Falkland Islands
Faroe Islands,Faroe Islands
Fiji,Fiji
Finland,Finland
France,France
French Guiana,French Guiana
French Polynesia,French Polynesia
French Southern Territories,French Southern Territories
Gabon,Gabon
Gambia,Gambia
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Gibraltar,Gibraltar
Greece,Greece
Greenland,Greenland
Grenada,Grenada
Guadeloupe,Guadeloupe
Guam,Guam
Guatemala,Guatemala
Guernsey,Guernsey
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
Haiti,Haiti
Heard and Mcdonald Islands,Heard & McDonald Islands
Holy See (Vatican City State),Vatican City
Honduras,Honduras
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
"Iran, Islamic Republic of",Iran
Iraq,Iraq
Ireland,Ireland
Isle of Man,Isle of Man
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jersey,Jersey
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kiribati,Kiribati
Korea (North),North Korea
Korea (South),South Korea
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
Lao PDR,Laos
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Liechtenstein,Liechtenstein
Lithuania,Lithuania
Luxembourg,Luxembourg
"Macedonia, Republic of",North Macedonia
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Marshall Islands,Marshall Islands
Martinique,Martinique
Mauritania,Mauritania
Mauritius,Mauritius
Mayotte,Mayotte
Mexico,Mexico
"Micronesia, Federated States of",Micronesia (Federated States of)
Moldova,Moldova
Monaco,Monaco
Mongolia,Mongolia
Montenegro,Montenegro
Montserrat,Montserrat
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar (Burma)
Namibia,Namibia
Nauru,Nauru
Nepal,Nepal
Netherlands,Netherlands
Netherlands Antilles,Netherlands Antilles
New Caledonia,New Caledonia
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Niue,Niue
Norfolk Island,Norfolk Island
Northern Mariana Islands,Northern Mariana Islands
Norway,Norway
Oman,Oman
Pakistan,Pakistan
Palau,Palau
Palestinian Territory,Palestinian Territories
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Pitcairn,Pitcairn Islands
Poland,Poland
Portugal,Portugal
Puerto Rico,Puerto Rico
Qatar,Qatar
Réunion,Réunion
Romania,Romania
Russian Federation,Russia
Rwanda,Rwanda
Saint-Barthélemy,St. Barthélemy
Saint Helena,St. Helena
Saint Kitts and Nevis,St. Kitts & Nevis
Saint Lucia,St. Lucia
Saint-Martin (French part),Saint Martin (French part)
Saint Pierre and Miquelon,St. Pierre & Miquelon
Saint Vincent and Grenadines,St. Vincent & Grenadines
Samoa,Samoa
San Marino,San Marino
Sao Tome and Principe,São Tomé & Príncipe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovakia,Slovakia
Slovenia,Slovenia
Solomon Islands,Solomon Islands
Somalia,Somalia
South Africa,South Africa
South Georgia and the South Sandwich Islands,South Georgia & South Sandwich Islands
South Sudan,South Sudan
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan
Suriname,Suriname
Svalbard and Jan Mayen Islands,Svalbard & Jan Mayen
Swaziland,Eswatini
Sweden,Sweden
Switzerland,Switzerland
Syrian Arab Republic (Syria),Syria
"Taiwan, Republic of China",Taiwan
Tajikistan,Tajikistan
"Tanzania, United Republic of",Tanzania
Thailand,Thailand
Timor-Leste,Timor-Leste
Togo,Togo
Tokelau,Tokelau
Tonga,Tonga
Trinidad and Tobago,Trinidad & Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
Turks and Caicos Islands,Turks & Caicos Islands
Tuvalu,Tuvalu
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
United States of America,United States
US Minor Outlying Islands,United States Minor Outlying Islands (the)
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Venezuela (Bolivarian Republic),Venezuela
Viet Nam,Vietnam
"Virgin Islands, US",U.S. Virgin Islands
Wallis and Futuna Islands,Wallis & Futuna
Western Sahara,Western Sahara
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
